개방서비스명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
동물병원,,경상남도 창녕군 남지읍 남지리 534-11 2통2반,경상남도 창녕군 남지읍 동포로 9,50358,남지가축병원,334530.7064,211069.2418
동물병원,055-533-8292,경상남도 창녕군 창녕읍 하리 421-1,경상남도 창녕군 창녕읍 갈전길 153,,창녕축협동물병원,334432.4576,230335.725
동물병원,,경상남도 창녕군 영산면 동리 134-26,경상남도 창녕군 영산면 원다리길 45-2,50345,미래동물병원,338740.1281,218198.7156
동물병원,055-532-0636,경상남도 창녕군 창녕읍 말흘리 747-11번지,경상남도 창녕군 창녕읍 창녕대로 153-1,50333,광진동물병원,336046.1812,226930.0403
동물병원,055-521-0438,경상남도 창녕군 영산면 서리 216-9번지,경상남도 창녕군 영산면 영산장마로 745,50342,김수의과병원&lt;산업동물출장진료전문병원&gt;,338401.2031,218611.0116
동물병원,055-532-9191,경상남도 창녕군 창녕읍 술정리 294-7,경상남도 창녕군 창녕읍 창녕대로 54,,남창가축병원,335335.0987,227610.6349
동물병원,055-6737194,경상남도 고성군 고성읍 송학리 416-58번지,경상남도 고성군 고성읍 송학고분로 317,52931,미소종합동물병원,320884.0733,165545.9614
동물병원,055-673-8875,경상남도 고성군 고성읍 수남리 542-31번지,경상남도 고성군 고성읍 남포로 75-3,52935,서울동물병원,320498.7587,164233.9778
동물병원,055-963-4569,경상남도 함양군 함양읍 교산리 189-1번지 6통2반,경상남도 함양군 함양읍 함양로 1182-1,50033,현대동물병원(출장진료전문병원),266044.6187,225182.7285
동물병원,,경상남도 함양군 안의면 금천리 115-5,경상남도 함양군 안의면 종로길 11-6,50011,이수의과동물병원(출장진료전문),273607.52,236772.1626
동물병원,,경상남도 함양군 함양읍 용평리 647-5 진동물병원,"경상남도 함양군 함양읍 용평5길 37, 진동물병원",50046,진동물병원(출장전문),266101.2203,224380.9957
동물병원,055-964-0095,경상남도 함양군 함양읍 용평리 646-2번지,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),50046,신성가축병원,266159.2732,224480.7461
동물병원,,경상남도 함양군 함양읍 백연리 340,경상남도 함양군 함양읍 돌북1길 27,50044,형제동물병원(출장진료전문),265394.1243,224340.5635
동물병원,055-963-8875,경상남도 함양군 함양읍 용평리 628-7번지 105호,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",50039,함양동물병원,266266.294,224642.317
동물병원,,충청남도 예산군 예산읍 주교리 225-1 2통우영연립 A동 203호,충청남도 예산군 예산읍 예산로 31,32431,새마을동물병원,184736.6595,353839.4855
동물병원,,충청남도 예산군 덕산면 읍내리 234-12번지 2통,충청남도 예산군 덕산면 예덕로 8,32406,김태오 동물병원,170392.0497,355985.5084
동물병원,,충청남도 예산군 예산읍 예산리 182,충청남도 예산군 예산읍 아리랑로 236,32434,흙 동물병원,186713.063,353319.4763
동물병원,,충청남도 예산군 고덕면 대천리 663번지 1통삼미아파트 B동 603호,충청남도 예산군 고덕면 고덕중앙로 86,32403,중앙 동물병원,173351.3811,360641.3745
동물병원,,충청남도 예산군 예산읍 주교리 240-5번지 1통,충청남도 예산군 예산읍 역전로 51,32431,예산 동물병원,184653.0123,353622.0069
동물병원,,충청남도 예산군 삽교읍 송산리 73-5,충청남도 예산군 삽교읍 충의로 170,340-901,한솔가축병원,171951.1551,354892.3642
동물병원,,충청남도 예산군 예산읍 예산리 880번지 한양아파트 30동 1103호,충청남도 예산군 예산읍 사직로 24,32435,협동동물병원,186386.2272,353383.2155
동물병원,,충청남도 예산군 광시면 광시리 657-2번지 104호,충청남도 예산군 광시면 예당로 190 (104호),,강이동물병원,179870.3116,338956.6944
동물병원,520-6370,충청남도 천안시 동남구 청당동 511,충청남도 천안시 동남구 청수11로 12 (청당동),31198,천안축산업협동조합 부설동물병원,213642.1509,364583.4964
동물병원,571-9318,충청남도 천안시 서북구 쌍용동 1169번지,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),31155,우리동물병원,211655.1828,366747.8646
동물병원,567-4723,충청남도 천안시 동남구 원성동 587-10,충청남도 천안시 동남구 충무로 475 (원성동),31186,장원동물병원(출장진료전문 동물병원),214028.6888,366400.0683
동물병원,582-9600,충청남도 천안시 서북구 성환읍 매주리 330-1,충청남도 천안시 서북구 성환읍 매주4길 20,31011,하나동물병원,211329.8702,378909.7904
동물병원,041-568-7277,충청남도 천안시 동남구 성황동 10-16번지,충청남도 천안시 동남구 대흥로 320 (성황동),,그림동물병원,213381.4239,368329.0298
동물병원,523-0275,충청남도 천안시 동남구 신부동 816번지 대흥빌딩,충청남도 천안시 동남구 터미널2로 8 (신부동),31119,에니펫동물병원,214070.5226,368702.7321
동물병원,568-7533,충청남도 천안시 서북구 두정동 1263번지 주차빌딩101,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",,펫프렌즈동물병원,212382.92,370290.6283
동물병원,572-8275,충청남도 천안시 서북구 쌍용동 1544-1번지 쌍용메디칼,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",31171,김수영 동물병원,210450.43,366337.75
동물병원,334-1666,충청남도 예산군 예산읍 대회리 1 공주대학교 산업과학대학 내,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),,충남야생동물구조센터,187383.6021,352103.7718
동물병원,335-1023,충청남도 예산군 예산읍 산성리,충청남도 예산군 예산읍 벚꽃로 153,32428,KU건국동물병원,185301.4694,354781.8455
동물병원,,충청남도 예산군 삽교읍 신리 316-46,충청남도 예산군 삽교읍 신촌길 11-12,32416,마일스톤피그클리닉(출장진료전문),170788.203,352895.4325
동물병원,041-557-8575,충청남도 천안시 동남구 신부동 319-37번지,충청남도 천안시 동남구 중앙로 281-2 (신부동),31117,고려동물병원,213530.0613,369125.2048
동물병원,,충청남도 천안시 동남구 청수동 262번지 청솔LG아파트 상가 지하1층 2호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층 2호)",31194,서현동물병원,213872.4173,365554.803
동물병원,544-8834,충청남도 천안시 동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",31194,다산동물병원,214004.6337,365624.3428
동물병원,553-5534,충청남도 천안시 동남구 청당동 153-15,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",31211,가온동물병원,213772.1917,364402.1311
동물병원,041-551-5659,충청남도 천안시 동남구 삼룡동 146-28,충청남도 천안시 동남구 충절로 437 (삼룡동),31070,서일동물병원,215243.0551,364669.5698
동물병원,041-565-5297,충청남도 천안시 동남구 신방동 263-3번지,충청남도 천안시 동남구 풍세로 614 (신방동),,유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),211746.4372,362966.6207
동물병원,,충청남도 천안시 서북구 성환읍 성환리 449-342,충청남도 천안시 서북구 성환읍 성환1로 275,,태성동물병원,211285.2078,379760.9246
동물병원,578-4575,충청남도 천안시 동남구 신방동 1536번지,충청남도 천안시 동남구 통정10로 33-10 (신방동),31208,나음동물병원,211727.7192,363608.4394
동물병원,579-8252,충청남도 천안시 동남구 신방동 49-14번지 이화빌딩,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",31176,다솜동물병원,211392.4156,365298.7908
동물병원,041-900-7582,충청남도 천안시 동남구 봉명동 32-1,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",31153,치유동물병원,212375.3666,366828.811
동물병원,,충청남도 천안시 동남구 수신면 속창리 134-6번지,충청남도 천안시 동남구 수신면 수신로 455,31251,다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),225242.7736,359023.2105
동물병원,041-557-8275,충청남도 천안시 동남구 신부동 88-3,충청남도 천안시 동남구 충절로 35 (신부동),31125,서울88동물의료원,214080.0302,368281.3597
동물병원,041-579-7582,충청남도 천안시 서북구 성정동 434-9,충청남도 천안시 서북구 쌍용대로 317 (성정동),,늘푸른동물병원두정의료센터,212153.4223,369320.5177
동물병원,041-555-7575,충청남도 천안시 동남구 원성동 601-1번지,충청남도 천안시 동남구 원거리7길 2 (원성동),,중앙동물병원,213653.0927,366407.4517
동물병원,041-551-5989,충청남도 천안시 동남구 영성동 67-3번지 18통3반,충청남도 천안시 동남구 대흥로 94-1 (영성동),31131,녹십자,213488.8726,366449.864
동물병원,581-7547,충청남도 천안시 서북구 성환읍 매주리 435-1,충청남도 천안시 서북구 성환읍 성환1로 116,31019,천안공주낙농축산업협동조합부설동물병원,211460.3702,378146.8609
동물병원,570-1378,충청남도 천안시 동남구 다가동 373-3,충청남도 천안시 동남구 차돌로 50 (다가동),,대전충남 양돈축산업협동조합 부설동물병원,212078.5592,366602.9495
동물병원,,충청남도 천안시 서북구 불당동 1220 1층호,"충청남도 천안시 서북구 불당7길 25, 1층 (불당동)",31164,동물병원닥터스,209927.0468,366866.6218
동물병원,043-643-3037,충청북도 제천시 명동 11-9번지,충청북도 제천시 의병대로 55-3 (명동),27169,한일동물병원,307181.4996,404632.4359
동물병원,645-8272,충청북도 제천시 하소동 165-59번지,충청북도 제천시 원뜰로 34 (하소동),27187,명진동물병원,306117.8587,404161.0378
동물병원,043-652-7582,충청북도 제천시 장락동 635-27,"충청북도 제천시 죽하로 5, 1층 (장락동)",27148,제천 그레이스 동물병원,308529.8452,406307.409
동물병원,,충청북도 음성군 삼성면 덕정리 525-19,충청북도 음성군 삼성면 대성로 613,27652,삼성가축병원,244274.7666,390864.4085
동물병원,043-872-2262,충청북도 음성군 음성읍 읍내리 549-12 6통3반,충청북도 음성군 음성읍 중앙로 142,27695,음성동물병원,261397.6603,381890.9689
동물병원,,충청북도 음성군 금왕읍 금석리 275-10,충청북도 음성군 금왕읍 대금로 1498,,금왕동물병원,253207.8474,387675.4135
동물병원,872-7747,충청북도 음성군 음성읍 읍내리 398-7번지,충청북도 음성군 음성읍 중앙로40번길 24,27706,남영가축병원 (출장진료전문병원),261590.5758,380889.085
동물병원,,충청북도 음성군 금왕읍 무극리 551-25,,,현대동물병원,252457.8076,387478.1782
동물병원,043-535-6426,충청북도 음성군 대소면 대풍리 524-2,충청북도 음성군 대소면 대금로54번길 8,27671,반석가금진료연구소,240160.0964,387198.3034
동물병원,,,"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",27663,전동물병원 (출장진료전문병원),246798.5507,386315.267
동물병원,043-883-7511,충청북도 음성군 대소면 태생리 519번지,충청북도 음성군 대소면 대금로 502,27666,대소동물병원,243886.2011,385135.8415
동물병원,043-882-7975,충청북도 음성군 맹동면 동성리 501,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",27738,그린벨동물의료센터,248149.3503,378611.4112
동물병원,873-9303,충청북도 음성군 음성읍 읍내리 314-9,충청북도 음성군 음성읍 시장로 99,,음성축산업협동조합 동물병원,261585.1626,381860.5808
동물병원,043-647-6100,충청북도 제천시 중앙로2가 27-10 9통3반,충청북도 제천시 의림대로15길 24 (중앙로2가),27169,진주동물병원(출장진료전문병원),307432.5986,404885.9124
동물병원,2237-3366,서울특별시 중구 신당동 336-3 명덕빌딩,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,바우미우동물병원,201064.9637,450779.721
동물병원,2278-0075,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원,199930.8583,451121.3448
동물병원,928-5599,서울특별시 성북구 보문동2가 49번지,서울특별시 성북구 보문로 137 (보문동2가),2871,서울종합동물병원,201537.5976,453866.557
동물병원,918-3344,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,대학동물병원,205326.1448,456806.4324
동물병원,924-4555,서울특별시 성북구 종암동 19-1번지,서울특별시 성북구 종암로 65 (종암동),2810,강북동물병원,203035.964,454877.3496
동물병원,02-969-7582,서울특별시 은평구 응암동 194-23,서울특별시 은평구 백련산로 145 (응암동),3463,스머프동물병원,193315.1172,455100.9551
동물병원,02-356-8353,서울특별시 은평구 불광동 554-1번지 1층,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,다루동물병원,193936.1257,456673.8056
동물병원,02-388-0275,서울특별시 은평구 역촌동 51-22번지,서울특별시 은평구 역말로 7 (역촌동),3415,도담동물병원,192084.6798,455936.9704
동물병원,386-6092,서울특별시 은평구 갈현동 498-3번지,서울특별시 은평구 서오릉로 192 (갈현동),3335,미래동물병원,192190.2663,456830.5284
동물병원,382-3243,서울특별시 은평구 대조동 224-24번지,서울특별시 은평구 서오릉로 140 (대조동),3394,더독동물병원,192656.3021,456562.1634
동물병원,02-2297-7582,서울특별시 성동구 행당동 322-100번지,서울특별시 성동구 행당로8길 41-2 (행당동),,오렌지동물병원,202931.7899,450419.387
동물병원,02-582-2186,서울특별시 서초구 방배동 809-1,서울특별시 서초구 방배로34길 12 (방배동),6585,남서울동물병원,199192.1512,443359.706
동물병원,582-2357,서울특별시 서초구 서초동 1603-66,서울특별시 서초구 효령로57길 4 (서초동),6643,서초동물병원,201437.4779,442585.4812
동물병원,522-0222,서울특별시 서초구 서초동 1534-2번지 명성빌딩,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",6671,아델 동물병원,200886.0325,442481.6826
동물병원,581-5500,서울특별시 서초구 방배동 894-2 선빌딩 101호,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",6661,동물제중원금손이 동물병원,199582.595,442879.1893
동물병원,02-585-0087,서울특별시 서초구 서초동 1486-2 삼양빌딩,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",6709,다니엘동물병원,200612.4018,442325.9223
동물병원,2693-8883,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동),8028,우신동물병원,186794.8421,446714.2758
동물병원,2642-9159,서울특별시 양천구 목동 657-16,서울특별시 양천구 등촌로 160 (목동),7951,강현림 종합동물병원,187774.0762,449099.4068
동물병원,02-2651-9953,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동),8087,해성동물병원,187566.1085,446497.5845
동물병원,02-3476-7522,서울특별시 서초구 반포동 18-3 래미안퍼스티지 중심상가 147-8호,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",6547,두리종합동물병원,200005.6264,444680.5217
동물병원,02-521-9010,서울특별시 서초구 방배동 925-8번지,"서울특별시 서초구 방배로 119, 1층 (방배동)",6682,디아나동물병원,199509.9016,442495.9495
동물병원,02-533-5505,서울특별시 서초구 잠원동 50-5 신사쇼핑센터 102-2호,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",6515,이상록동물병원,201230.6934,445992.4593
동물병원,2690-5673,서울특별시 양천구 신월동 446-4번지,서울특별시 양천구 월정로 46 (신월동),7936,햇살동물병원,185992.295,446855.11
동물병원,02-468-7582,서울특별시 성동구 성수동2가 339-23번지,서울특별시 성동구 뚝섬로 395 (성수동2가),4781,제인동물병원,204763.8077,448534.1138
동물병원,02-359-2020,서울특별시 은평구 대조동 187-24,서울특별시 은평구 통일로 817 (대조동),3385,Dr.윤24시동물병원,193147.6394,457137.1552
동물병원,02-2233-1848,서울특별시 성동구 금호동2가 485-1,서울특별시 성동구 금호산길 58(금호동2가),4726,한빛동물병원,201657.9263,450119.5081
동물병원,02-6085-7750,서울특별시 성동구 금호동4가 1108번지 지상1층,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",,아지동물병원,201790.1175,449530.7077
동물병원,02-3395-7975,서울특별시 성동구 행당동 318-36,서울특별시 성동구 고산자로 207 (행당동),4714,24시센트럴동물메디컬센터,202907.2189,450712.0867
동물병원,02-2652-5475,서울특별시 양천구 신정동 117-35 신정동빌딩,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",8009,리더스 동물병원,188828.5448,446633.6155
동물병원,02-6402-0301,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",4733,오석헌동물병원,201153.9816,449188.9705
동물병원,385-8275,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",3302,뉴타운동물병원,193103.4271,459986.856
동물병원,02-387-7582,서울특별시 은평구 응암동 91-5,서울특별시 은평구 은평로 93 (응암동),3461,24시스마트동물메디컬센터,192700.3776,455276.7291
동물병원,593-1045,서울특별시 서초구 잠원동 8-24 크레신타워 1층,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",6524,유림동물안과병원,201565.9572,446206.3549
동물병원,2094-8344,서울특별시 중랑구 상봉동 137-7,서울특별시 중랑구 중랑천로 71 (상봉동),,서울우유협동조합유우진료소,206321.9193,454381.7629
동물병원,2282-3653,서울특별시 성동구 금호동4가 1338 10통4반 현대ESA아파트 910호,서울특별시 성동구 독서당로 328 (금호동4가),4737,펫365동물병원,202164.8202,449516.5209
동물병원,2695-1231,서울특별시 양천구 신월동 50-5번지,서울특별시 양천구 남부순환로 347 (신월동),7905,민병철동물병원,184767.7296,448229.827
동물병원,02-2291-7582,서울특별시 성동구 옥수동 560 어울림상가 301~4호,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",4739,옥수수 동물병원,201538.0561,448894.7552
동물병원,2645-2727,서울특별시 양천구 목동 962 목동트라팰리스,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",8001,쿨펫이마트 목동점 동물병원,188472.7592,447091.856
동물병원,02-354-7544,서울특별시 은평구 불광동 104-94번지,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",3343,둘레길동물병원,193547.6806,457936.9948
동물병원,02-352-7275,서울특별시 은평구 대조동 14-27 2층,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",3397,개와냥이동물병원,193680.5647,456432.9936
동물병원,02-3152-0075,서울특별시 은평구 응암동 244-212번지,서울특별시 은평구 백련산로 29 (응암동),3470,참좋은동물병원,193081.8522,453992.5637
동물병원,02-384-0075,서울특별시 은평구 갈현동 394-27,서울특별시 은평구 통일로 885 (갈현동),3329,메디펫동물병원,192825.7957,457740.6732
동물병원,2274-8558,서울특별시 중구 필동2가 53,서울특별시 중구 퇴계로 226 (필동2가),4624,윤신근박사동물병원,199652.5966,451038.8914
동물병원,02-2654-6183,서울특별시 양천구 신정동 294-62번지,서울특별시 양천구 목동동로10길 6 (신정동),8014,노아동물병원,188498.8896,446254.4703
동물병원,2607-0022,서울특별시 양천구 신월동 444-11,서울특별시 양천구 오목로 45 (신월동),7930,양천종합동물병원,186019.5568,446684.7216
동물병원,306-8575,서울특별시 은평구 증산동 174-6 103호,"서울특별시 은평구 증산로 267, 103호 (증산동)",3500,한수24시동물병원,191719.6419,453281.9651
동물병원,354-0975,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412,로얄동물병원,192584.6394,456538.9227
동물병원,596-1175,서울특별시 서초구 서초동 1690-2번지 지상1층,"서울특별시 서초구 서초대로 325 (서초동,지상1층)",,교대동물병원,201436.6463,443641.2975
동물병원,2649-0774,서울특별시 양천구 목동 805-1,서울특별시 양천구 등촌로 16 (목동),7966,필동물종합병원,187920.9605,447697.3416
동물병원,02-3476-3535,서울특별시 서초구 반포동 20-51 베리스타운102/108호,서울특별시 서초구 사평대로45길 10-25 (반포동),6544,반포자이동물병원,201162.735,444940.18
동물병원,02-574-0511,서울특별시 서초구 신원동 412-5번지 힐스테이트서초잰트리스 103호,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)",6798,하나동물병원,204997.1628,439329.1695
동물병원,2645-7588,서울특별시 양천구 목동 907번지 현대월드타워 160호,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)",7983,가나종합동물병원,189151.208,448200.0677
동물병원,02-2297-9300,서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)",4701,바라봄동물병원,202372.912,451536.6809
동물병원,02-356-9475,"서울특별시 은평구 불광동 643 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호","서울특별시 은평구 통일로 796, 상가동 지하2층 128호, 지하1층 228호 (불광동, 북한산 힐스테이트7차)",3357,담은동물병원,193457.6985,457135.2177
동물병원,2697-7576,서울특별시 양천구 신정동 987-3 1층,"서울특별시 양천구 오목로 198-1 (신정동,1층)",,신정 동물병원,187507.5025,447012.9668
동물병원,2642-8653,서울특별시 양천구 목동 657-21번지 등촌빌딩,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)",7951,토론토 동물병원,187788.8226,449204.6352
동물병원,02-466-8215,서울특별시 성동구 성수동1가 718번지 트리마제,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",4773,달링동물병원,203911.5131,448508.756
동물병원,02-2232-7975,서울특별시 중구 황학동 2523 황학 아크로타워,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",4575,바른동물병원,201866.0395,451543.3378
동물병원,02-306-0158,서울특별시 은평구 응암동 589-12번지 2층,"서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)",3484,오거리동물병원,192509.1149,454279.7008
동물병원,382-7582,서울특별시 은평구 응암동 74-14번지,서울특별시 은평구 은평로 208 (응암동),3472,LOVE MY PET 동물병원,193814.0712,455415.9791
동물병원,577-6125,서울특별시 서초구 양재동 215번지 이마트 양재점 지하1층,"서울특별시 서초구 매헌로 16, 지하1층 (양재동, 이마트 양재점)",6771,이리온 양재점,203204.7556,440136.7812
동물병원,592-0202,서울특별시 서초구 반포동 1341,"서울특별시 서초구 서초중앙로 224, 129호 (반포동)",6599,꿈꾸는 동물병원,201100.601,444376.5329
동물병원,2058-1882,서울특별시 서초구 양재동 4-14,서울특별시 서초구 바우뫼로 211 (양재동),6740,에이블 동물병원,203615.7106,442081.7738
동물병원,02-468-7975,서울특별시 성동구 성수동1가 22-28번지 1층,"서울특별시 성동구 성수일로 33, 1층 (성수동1가, 정인숙보습학원)",4779,포레동물병원,204278.3649,449042.484
동물병원,3472-8275,서울특별시 서초구 서초동 1332-7,"서울특별시 서초구 사임당로 139, 104호 (서초동)",6624,서이동물병원,202128.627,443285.6812
동물병원,02-578-7572,서울특별시 서초구 우면동 66-2 우면세신상가 201호,"서울특별시 서초구 바우뫼로7길 8, 201호 (우면동,우면세신상가)",,우면동물병원,202175.0111,440963.7591
동물병원,02-2297-0075,서울특별시 성동구 하왕십리동 892-4,서울특별시 성동구 왕십리로 381 (하왕십리동),4710,왕십리조은동물병원,202393.4573,451365.3262
동물병원,2642-1239,"서울특별시 양천구 신정동 329 목동신시가지아파트14단지 B상가 117,호","서울특별시 양천구 목동동로 130, 117, 118호 (신정동, 목동신시가지아파트14단지)",8018,페토브 동물병원,188467.2154,446003.9412
동물병원,02-2601-8875,서울특별시 양천구 신정동 1182-11,"서울특별시 양천구 중앙로 237, 1층 (신정동)",8073,24시 서울 탑 동물병원,186990.0704,446176.8104
동물병원,534-9773,서울특별시 서초구 방배동 790-27번지,서울특별시 서초구 방배중앙로 149 (방배동),6560,수동물병원,198732.246,443365.9223
동물병원,3473-8274,서울특별시 서초구 방배동 898-3,"서울특별시 서초구 서초대로 108, 2층 (방배동)",6664,내방동물병원,199410.8814,442807.5884
동물병원,02-2282-7501,서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",4731,스테이동물병원,201157.8773,449563.28
동물병원,02-537-0075,서울특별시 서초구 반포동 56-1번지,서울특별시 서초구 서초중앙로 245 (반포동),,신반포종합동물병원,200884.6246,444571.1061
동물병원,8464597,서울특별시 양천구 목동 507-2 덕수프라자,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 2층 (목동)",7947,두암동물병원,188563.7467,449409.1436
